Acceleration,Cylinders,Displacement,Horsepower,Miles_per_Gallon,Weight_in_lbs
13.0,8,351.0,153.0,14.0,4129
11.5,8,304.0,150.0,17.0,3672
11.0,8,429.0,208.0,11.0,4633
13.5,8,350.0,155.0,13.0,4502
13.5,8,350.0,160.0,12.0,4456
12.5,8,400.0,190.0,13.0,4422
13.5,3,70.0,97.0,19.0,2330
12.5,8,304.0,150.0,15.0,3892
14.0,8,307.0,130.0,13.0,4098
16.0,8,302.0,140.0,13.0,4294
14.0,8,318.0,150.0,14.0,4077
14.5,4,121.0,112.0,18.0,2933
18.0,4,121.0,76.0,22.0,2511
19.5,4,120.0,87.0,21.0,2979
18.0,4,96.0,69.0,26.0,2189
16.0,4,122.0,86.0,22.0,2395
17.0,4,97.0,92.0,28.0,2288
14.5,4,120.0,97.0,23.0,2506
15.0,4,98.0,80.0,28.0,2164
16.5,4,97.0,88.0,27.0,2100
13.0,8,350.0,175.0,13.0,4100
11.5,8,304.0,150.0,14.0,3672
13.0,8,350.0,145.0,13.0,3988
14.5,8,302.0,137.0,14.0,4042
12.5,8,318.0,150.0,15.0,3777
11.5,8,429.0,198.0,12.0,4952
12.0,8,400.0,150.0,13.0,4464
13.0,8,351.0,158.0,13.0,4363
14.5,8,318.0,150.0,14.0,4237
11.0,8,440.0,215.0,13.0,4735
11.0,8,455.0,225.0,12.0,4951
11.0,8,360.0,175.0,13.0,3821
16.5,6,225.0,105.0,18.0,3121
18.0,6,250.0,100.0,16.0,3278
16.0,6,232.0,100.0,18.0,2945
16.5,6,250.0,88.0,18.0,3021
16.0,6,198.0,95.0,23.0,2904
21.0,4,97.0,46.0,26.0,1950
14.0,8,400.0,150.0,11.0,4997
12.5,8,400.0,167.0,12.0,4906
13.0,8,360.0,170.0,13.0,4654
12.5,8,350.0,180.0,12.0,4499
15.0,6,232.0,100.0,18.0,2789
19.0,4,97.0,88.0,20.0,2279
19.5,4,140.0,72.0,21.0,2401
16.5,4,108.0,94.0,22.0,2379
13.5,3,70.0,90.0,18.0,2124
18.5,4,122.0,85.0,19.0,2310
14.0,6,155.0,107.0,21.0,2472
15.5,4,98.0,90.0,26.0,2265
13.0,8,350.0,145.0,15.0,4082
9.5,8,400.0,230.0,16.0,4278
19.5,4,68.0,49.0,29.0,1867
15.5,4,116.0,75.0,24.0,2158
14.0,4,114.0,91.0,20.0,2582
15.5,4,121.0,112.0,19.0,2868
11.0,8,318.0,150.0,15.0,3399
14.0,4,121.0,110.0,24.0,2660
13.5,6,156.0,122.0,20.0,2807
11.0,8,350.0,180.0,11.0,3664
16.5,6,198.0,95.0,20.0,3102
16.0,6,232.0,100.0,19.0,2901
17.0,6,250.0,100.0,15.0,3336
19.0,4,79.0,67.0,31.0,1950
16.5,4,122.0,80.0,26.0,2451
21.0,4,71.0,65.0,32.0,1836
17.0,4,140.0,75.0,25.0,2542
17.0,6,250.0,100.0,16.0,3781
18.0,6,258.0,110.0,16.0,3632
16.5,6,225.0,105.0,18.0,3613
14.0,8,302.0,140.0,16.0,4141
14.5,8,350.0,150.0,13.0,4699
13.5,8,318.0,150.0,14.0,4457
16.0,8,302.0,140.0,14.0,4638
15.5,8,304.0,150.0,14.0,4257
16.5,4,98.0,83.0,29.0,2219
15.5,4,79.0,67.0,26.0,1963
14.5,4,97.0,78.0,26.0,2300
16.5,4,76.0,52.0,31.0,1649
19.0,4,83.0,61.0,32.0,2003
14.5,4,90.0,75.0,28.0,2125
15.5,4,90.0,75.0,24.0,2108
14.0,4,116.0,75.0,26.0,2246
15.0,4,120.0,97.0,24.0,2489
15.5,4,108.0,93.0,26.0,2391
16.0,4,79.0,67.0,31.0,2000
16.0,6,225.0,95.0,19.0,3264
16.0,6,250.0,105.0,18.0,3459
21.0,6,250.0,72.0,15.0,3432
19.5,6,250.0,72.0,15.0,3158
11.5,8,400.0,170.0,16.0,4668
14.0,8,350.0,145.0,15.0,4440
14.5,8,318.0,150.0,16.0,4498
13.5,8,351.0,148.0,14.0,4657
21.0,6,231.0,110.0,17.0,3907
18.5,6,250.0,105.0,16.0,3897
19.0,6,258.0,110.0,15.0,3730
19.0,6,225.0,95.0,18.0,3785
15.0,6,231.0,110.0,21.0,3039
13.5,8,262.0,110.0,20.0,3221
12.0,8,302.0,129.0,13.0,3169
16.0,4,97.0,75.0,29.0,2171
17.0,4,140.0,83.0,23.0,2639
16.0,6,232.0,100.0,20.0,2914
18.5,4,140.0,78.0,23.0,2592
13.5,4,134.0,96.0,24.0,2702
16.5,4,90.0,71.0,25.0,2223
17.0,4,119.0,97.0,24.0,2545
14.5,6,171.0,97.0,18.0,2984
14.0,4,90.0,70.0,29.0,1937
17.0,6,232.0,90.0,19.0,3211
15.0,4,115.0,95.0,23.0,2694
17.0,4,120.0,88.0,23.0,2957
14.5,4,121.0,98.0,22.0,2945
13.5,4,121.0,115.0,25.0,2671
17.5,4,91.0,53.0,33.0,1795
15.5,4,107.0,86.0,28.0,2464
16.9,4,116.0,81.0,25.0,2220
14.9,4,140.0,92.0,25.0,2572
17.7,4,98.0,79.0,26.0,2255
15.3,4,101.0,83.0,27.0,2202
13.0,8,305.0,140.0,17.5,4215
13.0,8,318.0,150.0,16.0,4190
13.9,8,304.0,120.0,15.5,3962
12.8,8,351.0,152.0,14.5,4215
15.4,6,225.0,100.0,22.0,3233
14.5,6,250.0,105.0,22.0,3353
17.6,6,200.0,81.0,24.0,3012
17.6,6,232.0,90.0,22.5,3085
22.2,4,85.0,52.0,29.0,2035
22.1,4,98.0,60.0,24.5,2164
14.2,4,90.0,70.0,29.0,1937
17.4,4,91.0,53.0,33.0,1795
17.7,6,225.0,100.0,20.0,3651
21.0,6,250.0,78.0,18.0,3574
16.2,6,250.0,110.0,18.5,3645
17.8,6,258.0,95.0,17.5,3193
12.2,4,97.0,71.0,29.5,1825
17.0,4,85.0,70.0,32.0,1990
16.4,4,97.0,75.0,28.0,2155
13.6,4,140.0,72.0,26.5,2565
15.7,4,130.0,102.0,20.0,3150
13.2,8,318.0,150.0,13.0,3940
21.9,4,120.0,88.0,19.0,3270
15.5,6,156.0,108.0,19.0,2930
16.7,6,168.0,120.0,16.5,3820
12.1,8,350.0,180.0,16.5,4380
12.0,8,350.0,145.0,13.0,4055
15.0,8,302.0,130.0,13.0,3870
14.0,8,318.0,150.0,13.0,3755
18.5,4,98.0,68.0,31.5,2045
14.8,4,111.0,80.0,30.0,2155
18.6,4,79.0,58.0,36.0,1825
15.5,4,122.0,96.0,25.5,2300
16.8,4,85.0,70.0,33.5,1945
12.5,8,305.0,145.0,17.5,3880
19.0,8,260.0,110.0,17.0,4060
13.7,8,318.0,145.0,15.5,4140
14.9,8,302.0,130.0,15.0,4295
16.4,6,250.0,110.0,17.5,3520
16.9,6,231.0,105.0,20.5,3425
17.7,6,225.0,100.0,19.0,3630
19.0,6,250.0,98.0,18.5,3525
11.1,8,400.0,180.0,16.0,4220
11.4,8,350.0,170.0,15.5,4165
12.2,8,400.0,190.0,15.5,4325
14.5,8,351.0,149.0,16.0,4335
14.5,4,97.0,78.0,29.0,1940
16.0,4,151.0,88.0,24.5,2740
18.2,4,97.0,75.0,26.0,2265
15.8,4,140.0,89.0,25.5,2755
17.0,4,98.0,63.0,30.5,2051
15.9,4,98.0,83.0,33.5,2075
16.4,4,97.0,67.0,30.0,1985
14.1,4,97.0,78.0,30.5,2190
14.5,6,146.0,97.0,22.0,2815
12.8,4,121.0,110.0,21.5,2600
13.5,3,80.0,110.0,21.5,2720
21.5,4,90.0,48.0,43.1,1985
14.4,4,98.0,66.0,36.1,1800
19.4,4,78.0,52.0,32.8,1985
18.6,4,85.0,70.0,39.4,2070
16.4,4,91.0,60.0,36.1,1800
15.5,8,260.0,110.0,19.9,3365
13.2,8,318.0,140.0,19.4,3735
12.8,8,302.0,139.0,20.2,3570
19.2,6,231.0,105.0,19.2,3535
18.2,6,200.0,95.0,20.5,3155
15.8,6,200.0,85.0,20.2,2965
15.4,4,140.0,88.0,25.1,2720
17.2,6,225.0,100.0,20.5,3430
17.2,6,232.0,90.0,19.4,3210
15.8,6,231.0,105.0,20.6,3380
16.7,6,200.0,85.0,20.8,3070
18.7,6,225.0,110.0,18.6,3620
15.1,6,258.0,120.0,18.1,3410
13.2,8,305.0,145.0,19.2,3425
13.4,6,231.0,165.0,17.7,3445
11.2,8,302.0,139.0,18.1,3205
13.7,8,318.0,140.0,17.5,4080
16.5,4,98.0,68.0,30.0,2155
14.2,4,134.0,95.0,27.5,2560
14.7,4,119.0,97.0,27.2,2300
14.5,4,105.0,75.0,30.9,2230
14.8,4,134.0,95.0,21.1,2515
16.7,4,156.0,105.0,23.2,2745
17.6,4,151.0,85.0,23.8,2855
14.9,4,119.0,97.0,23.9,2405
15.9,5,131.0,103.0,20.3,2830
13.6,6,163.0,125.0,17.0,3140
15.7,4,121.0,115.0,21.6,2795
15.8,6,163.0,133.0,16.2,3410
14.9,4,89.0,71.0,31.5,1990
16.6,4,98.0,68.0,29.5,2135
15.4,6,231.0,115.0,21.5,3245
18.2,6,200.0,85.0,19.8,2990
17.3,4,140.0,88.0,22.3,2890
18.2,6,232.0,90.0,20.2,3265
16.6,6,225.0,110.0,20.6,3360
15.4,8,305.0,130.0,17.0,3840
13.4,8,302.0,129.0,17.6,3725
13.2,8,351.0,138.0,16.5,3955
15.2,8,318.0,135.0,18.2,3830
14.9,8,350.0,155.0,16.9,4360
14.3,8,351.0,142.0,15.5,4054
15.0,8,267.0,125.0,19.2,3605
13.0,8,360.0,150.0,18.5,3940
14.0,4,89.0,71.0,31.9,1925
15.2,4,86.0,65.0,34.1,1975
14.4,4,98.0,80.0,35.7,1915
15.0,4,121.0,80.0,27.4,2670
20.1,5,183.0,77.0,25.4,3530
17.4,8,350.0,125.0,23.0,3900
24.8,4,141.0,71.0,27.2,3190
22.2,8,260.0,90.0,23.9,3420
13.2,4,105.0,70.0,34.2,2200
14.9,4,105.0,70.0,34.5,2150
19.2,4,85.0,65.0,31.8,2020
14.7,4,91.0,69.0,37.3,2130
16.0,4,151.0,90.0,28.4,2670
11.3,6,173.0,115.0,28.8,2595
12.9,6,173.0,115.0,26.8,2700
13.2,4,151.0,90.0,33.5,2556
14.7,4,98.0,76.0,41.5,2144
18.8,4,89.0,60.0,38.1,1968
15.5,4,98.0,70.0,32.1,2120
16.4,4,86.0,65.0,37.2,2019
16.5,4,151.0,90.0,28.0,2678
18.1,4,140.0,88.0,26.4,2870
20.1,4,151.0,90.0,24.3,3003
18.7,6,225.0,90.0,19.1,3381
15.8,4,97.0,78.0,34.3,2188
15.5,4,134.0,90.0,29.8,2711
17.5,4,120.0,75.0,31.3,2542
15.0,4,119.0,92.0,37.0,2434
15.2,4,108.0,75.0,32.2,2265
17.9,4,86.0,65.0,46.6,2110
14.4,4,156.0,105.0,27.9,2800
19.2,4,85.0,65.0,40.8,2110
21.7,4,90.0,48.0,44.3,2085
23.7,4,90.0,48.0,43.4,2335
19.9,5,121.0,67.0,36.4,2950
21.8,4,146.0,67.0,30.0,3250
13.8,4,91.0,67.0,44.6,1850
18.0,4,97.0,67.0,33.8,2145
15.3,4,89.0,62.0,29.8,1845
11.4,6,168.0,132.0,32.7,2910
12.5,3,70.0,100.0,23.7,2420
15.1,4,122.0,88.0,35.0,2500
17.0,4,107.0,72.0,32.4,2290
15.7,4,135.0,84.0,27.2,2490
16.4,4,151.0,84.0,26.6,2635
14.4,4,156.0,92.0,25.8,2620
12.6,6,173.0,110.0,23.5,2725
12.9,4,135.0,84.0,30.0,2385
16.9,4,79.0,58.0,39.1,1755
16.4,4,86.0,64.0,39.0,1875
16.1,4,81.0,60.0,35.1,1760
17.8,4,97.0,67.0,32.3,2065
19.4,4,85.0,65.0,37.0,1975
17.3,4,89.0,62.0,37.7,2050
16.0,4,91.0,68.0,34.1,1985
14.9,4,105.0,63.0,34.7,2215
16.2,4,98.0,65.0,34.4,2045
20.7,4,98.0,65.0,29.9,2380
14.2,4,105.0,74.0,33.0,2190
14.4,4,107.0,75.0,33.7,2210
16.8,4,108.0,75.0,32.4,2350
14.8,4,119.0,100.0,32.9,2615
18.3,4,120.0,74.0,31.6,2635
20.4,4,141.0,80.0,28.1,3230
19.6,6,145.0,76.0,30.7,3160
12.6,6,168.0,116.0,25.4,2900
13.8,6,146.0,120.0,24.2,2930
15.8,6,231.0,110.0,22.4,3415
19.0,8,350.0,105.0,26.6,3725
17.1,6,200.0,88.0,20.2,3060
16.6,6,225.0,85.0,17.6,3465
19.6,4,112.0,88.0,28.0,2605
18.6,4,112.0,88.0,27.0,2640
18.0,4,112.0,88.0,34.0,2395
16.2,4,112.0,85.0,31.0,2575
16.0,4,135.0,84.0,29.0,2525
18.0,4,151.0,90.0,27.0,2735
16.4,4,140.0,92.0,24.0,2865
15.3,4,105.0,74.0,36.0,1980
18.2,4,91.0,68.0,37.0,2025
17.6,4,91.0,68.0,31.0,1970
14.7,4,105.0,63.0,38.0,2125
17.3,4,98.0,70.0,36.0,2125
14.5,4,120.0,88.0,36.0,2160
14.5,4,107.0,75.0,36.0,2205
16.9,4,108.0,70.0,34.0,2245
15.0,4,91.0,67.0,38.0,1965
15.7,4,91.0,67.0,32.0,1965
16.2,4,91.0,67.0,38.0,1995
16.4,6,181.0,110.0,25.0,2945
17.0,6,262.0,85.0,38.0,3015
14.5,4,156.0,92.0,26.0,2585
14.7,6,232.0,112.0,22.0,2835
13.9,4,144.0,96.0,32.0,2665
13.0,4,135.0,84.0,36.0,2370
17.3,4,151.0,90.0,27.0,2950
15.6,4,140.0,86.0,27.0,2790
24.6,4,97.0,52.0,44.0,2130
11.6,4,135.0,84.0,32.0,2295
18.6,4,120.0,79.0,28.0,2625
19.4,4,119.0,82.0,31.0,2720
